model,dataset_size,dataset,fold,test_score,Created
TabM-Tuned 〽️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,1,0.8110167744554447,2025-10-10T15:54:21.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,9,0.7494459975450907,2025-10-10T15:29:53.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,8,0.7567965963458254,2025-10-10T15:23:04.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,7,0.8065146752113469,2025-10-10T15:22:55.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,6,0.7789446492877417,2025-10-10T15:22:51.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,5,0.7912266568849593,2025-10-10T15:19:02.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,4,0.8095494051296216,2025-10-10T15:17:45.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,3,0.8205873264270747,2025-10-10T14:51:28.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,2,0.7867670694485321,2025-10-10T14:50:48.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,1,0.8116623362866708,2025-10-10T14:25:01.000Z
TabM-Tuned 〽️,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,0,0.8128602424954072,2025-10-10T14:20:02.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,9,0.8397834740001467,2025-10-10T14:19:19.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,8,0.8312225874070985,2025-10-10T14:18:09.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,7,0.8343955642254334,2025-10-10T14:15:01.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,6,0.8437158055289662,2025-10-10T14:12:27.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,5,0.8374177691131651,2025-10-10T13:48:20.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,4,0.8455942737625829,2025-10-10T13:48:03.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,0.8381971156746321,2025-10-10T13:19:21.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,2,0.8413740070514065,2025-10-10T13:16:53.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,0.8307299729557521,2025-10-10T13:15:37.000Z
TabM-Tuned 〽️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,0,0.8374054691425856,2025-10-10T13:07:21.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,9,0.8559364837987706,2025-10-10T13:06:39.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,8,0.8513442283583851,2025-10-10T13:06:28.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,7,0.8550137785081852,2025-10-10T12:43:32.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,6,0.8601435473478702,2025-10-10T12:43:07.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,5,0.8486279903566671,2025-10-10T12:09:59.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,4,0.8549801135947744,2025-10-10T12:09:40.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,3,0.8609360930355783,2025-10-10T12:08:10.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,2,0.8492569641105423,2025-10-10T11:57:37.000Z
TabM-Tuned 〽️,10000,MUL_HOUSES_MELBOURNE_AIRBNB,0,0.8529673573524056,2025-10-10T11:56:50.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,9,0.8773668923184855,2025-10-10T11:39:42.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,8,0.8677766830524105,2025-10-10T11:39:18.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,7,0.865274851164207,2025-10-10T11:07:02.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,6,0.877281309054305,2025-10-10T11:04:31.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,5,0.8720794753271622,2025-10-10T11:03:49.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,2,0.8793151637016112,2025-10-10T10:51:53.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,4,0.8763179793754462,2025-10-10T10:51:42.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,3,0.8767532768656846,2025-10-10T10:51:33.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,1,0.8799483360915883,2025-10-10T10:35:13.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_YELP_REVIEWS,0,0.878438871857427,2025-10-10T10:35:07.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,9,0.9792377590208374,2025-10-10T09:56:40.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,8,0.9796832283558398,2025-10-10T09:56:23.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,7,0.9789297075646296,2025-10-10T09:55:59.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,6,0.981233807537471,2025-10-10T09:46:24.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,5,0.977243675288778,2025-10-10T09:45:36.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,4,0.9791801690327452,2025-10-10T09:44:35.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,3,0.9786517231156364,2025-10-10T09:30:58.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,2,0.9804117980923376,2025-10-10T09:30:35.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,1,0.9782873097305276,2025-10-10T08:49:19.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_WINE_REVIEW,0,0.976201399352965,2025-10-10T08:49:12.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,9,0.9078517243494132,2025-10-10T08:49:12.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,0.9058606289702488,2025-10-10T08:42:31.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,7,0.9129836631895428,2025-10-10T08:42:11.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,6,0.9024481168392552,2025-10-10T08:38:54.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,5,0.9187377048769908,2025-10-10T08:27:45.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,4,0.9153937798089388,2025-10-10T08:27:42.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,0.9139814165423836,2025-10-10T07:41:51.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,2,0.9098650766819822,2025-10-10T07:41:51.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,9,0.898260682003988,2025-10-10T07:41:25.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,1,0.9118751508531122,2025-10-10T07:39:28.000Z
TabM-Tuned 〽️,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,0.9138364625282056,2025-10-10T07:39:05.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,8,0.909027978701144,2025-10-10T07:34:15.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,7,0.9022767882602502,2025-10-10T07:24:13.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,6,0.9145737463748692,2025-10-10T07:24:03.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,5,0.9003058231025113,2025-10-10T06:35:58.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,4,0.8987954876289322,2025-10-10T06:35:58.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,0.9017250604673483,2025-10-10T06:35:47.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,0.910218489052988,2025-10-10T06:35:34.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,0.904871865992002,2025-10-10T06:35:04.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,0.9083002923272552,2025-10-10T06:29:52.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,9,0.9013731386317624,2025-10-10T06:21:52.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,8,0.919955710177676,2025-10-10T06:21:44.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,7,0.9219156985937856,2025-10-10T05:32:50.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,6,0.9110193249111602,2025-10-10T05:32:31.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,5,0.9115339921619002,2025-10-10T05:31:17.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,4,0.8942690799016955,2025-10-10T05:30:47.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,3,0.9004942490201729,2025-10-10T05:30:05.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,2,0.9009127885943478,2025-10-10T05:26:30.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,1,0.9074625873238558,2025-10-10T05:19:42.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,0.9036219816869872,2025-10-10T05:18:57.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,9,0.7839285714285714,2025-10-10T03:21:00.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,8,0.875595238095238,2025-10-10T03:18:15.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,7,0.8696428571428572,2025-10-10T03:18:15.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,5,0.8934523809523809,2025-10-10T03:17:09.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,6,0.825,2025-10-10T03:14:57.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,4,0.8434523809523808,2025-10-10T03:14:31.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,2,0.8130952380952381,2025-10-10T02:17:38.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,3,0.8928571428571429,2025-10-10T02:17:37.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,1,0.9035714285714288,2025-10-10T02:16:23.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,0,0.8089285714285714,2025-10-10T02:12:37.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,9,0.7296829044117648,2025-10-10T02:11:27.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,8,0.7431789981617647,2025-10-10T02:11:27.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,7,0.7387051930147059,2025-10-10T02:10:08.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,6,0.7581835937500001,2025-10-10T02:10:08.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,0.7354457720588236,2025-10-10T01:10:34.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,0.7451447610294117,2025-10-10T01:10:13.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,0.7431135110294117,2025-10-10T01:10:13.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,5,0.760625,2025-10-10T01:08:37.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,4,0.7274770220588236,2025-10-10T01:07:47.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,0.7567038143382352,2025-10-10T01:06:50.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,9,0.9318168468045112,2025-10-10T01:04:10.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,8,0.9180274906015036,2025-10-10T01:04:01.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,4,0.8807712640977444,2025-10-10T00:02:08.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,3,0.9169407894736842,2025-10-10T00:02:07.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,5,0.975578594924812,2025-10-10T00:02:07.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,2,0.9301133693609024,2025-10-10T00:02:06.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,6,0.9109639332706768,2025-10-10T00:01:12.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,7,0.901389215225564,2025-10-10T00:01:12.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,0,0.929437852443609,2025-10-09T23:59:53.000Z
TabM-Tuned 〽️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,1,0.9137394266917294,2025-10-09T23:59:53.000Z
